model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
q3_32b,16384,ig_2,0.967,0.9573,1152,12
q3_32b,16384,ig_3,0.967,0.958,1152,12
q3_32b,16384,ig_4,0.9688,0.9575,1152,12
q3_32b,16384,ig_5,0.967,0.9565,1152,12
q3_32b,16384,ig_6,0.9635,0.9573,1152,12
q3_32b,16384,ig_7,0.9714,0.9578,1152,12
q3_32b,16384,ig_8,0.9679,0.9571,1152,12
q3_32b,16384,ig_9,0.9661,0.9563,1152,12
q3_32b,16384,ig_10,0.9696,0.9577,1152,12
q3_32b,16384,ig_11,0.9661,0.9567,1152,12
q3_32b,16384,ig_12,0.967,0.9571,1152,12
q3_32b,16384,ig_13,0.9696,0.9568,1152,12
q3_32b,16384,ig_14,0.9653,0.9575,1152,12
q3_32b,16384,ig_15,0.9696,0.9582,1152,12
q3_32b,16384,ig_16,0.9714,0.9579,1152,12
q3_32b,16384,ig_17,0.9688,0.9571,1152,12
q3_32b,16384,ig_18,0.9635,0.9581,1152,12
q3_32b,16384,ig_19,0.9679,0.9574,1152,12
q3_32b,16384,ig_20,0.9688,0.9574,1152,12
q3_32b,16384,ig_21,0.9679,0.9565,1152,12
q3_32b,16384,ig_22,0.9618,0.956,1152,12
q3_32b,16384,ig_23,0.9618,0.9565,1152,12
q3_32b,16384,ig_24,0.9679,0.9547,1152,12
q3_32b,16384,ig_25,0.9661,0.9555,1152,12
q3_32b,16384,ig_26,0.9644,0.9536,1152,12
q3_32b,16384,ig_27,0.9627,0.954,1152,12
q3_32b,16384,ig_28,0.9575,0.954,1152,12
q3_32b,16384,ig_29,0.9661,0.954,1152,12
q3_32b,16384,ig_30,0.9618,0.9511,1152,12
q3_32b,16384,ig_31,0.967,0.9536,1152,12
q3_32b,16384,ig_32,0.9653,0.9531,1152,12
q3_32b,16384,ig_33,0.9653,0.955,1152,12
q3_32b,16384,ig_34,0.9653,0.9557,1152,12
q3_32b,16384,ig_35,0.9661,0.9546,1152,12
q3_32b,16384,ig_36,0.9644,0.9556,1152,12
q3_32b,16384,ig_37,0.9627,0.9526,1152,12
q3_32b,16384,ig_38,0.9583,0.9512,1152,12
q3_32b,16384,ig_39,0.9575,0.95,1152,12
q3_32b,16384,ig_40,0.954,0.9499,1152,12
q3_32b,16384,ig_41,0.9592,0.9512,1152,12
q3_32b,16384,ig_42,0.954,0.9508,1152,12
q3_32b,16384,ig_43,0.954,0.9516,1152,12
q3_32b,16384,ig_44,0.9575,0.9492,1152,12
q3_32b,16384,ig_45,0.9497,0.9462,1152,12
q3_32b,16384,ig_46,0.9531,0.9425,1152,12
q3_32b,16384,ig_47,0.9514,0.9437,1152,12
q3_32b,16384,ig_48,0.9505,0.9428,1152,12
q3_32b,16384,ig_49,0.928,0.9349,1152,12
q3_32b,16384,ig_50,0.9375,0.9307,1152,12
q3_32b,16384,ig_51,0.9332,0.9263,1152,12
q3_32b,16384,ig_52,0.9418,0.9287,1152,12
q3_32b,16384,ig_53,0.9167,0.9186,1152,12
q3_32b,16384,ig_54,0.9297,0.9271,1152,12
q3_32b,16384,ig_55,0.9366,0.9247,1152,12
q3_32b,16384,ig_56,0.9123,0.9087,1152,12
q3_32b,16384,ig_57,0.9219,0.9224,1152,12
q3_32b,16384,ig_58,0.9392,0.9264,1152,12
q3_32b,16384,ig_59,0.9306,0.9254,1152,12
q3_32b,16384,ig_60,0.9384,0.9331,1152,12
q3_32b,16384,ig_61,0.9297,0.9281,1152,12
q3_32b,16384,igs_7-16,0.9523,0.9315,1152,12
q3_32b,16384,igs_7-10,0.9505,0.9285,1152,12
q3_32b,16384,igs_7-13,0.9488,0.9273,1152,12
q3_32b,16384,igs_7-15,0.9444,0.928,1152,12
q3_32b,16384,igs_4-7,0.9514,0.9293,1152,12
q3_32b,16384,igs_7-17,0.9479,0.9286,1152,12
q3_32b,16384,igs_7-20,0.9401,0.9277,1152,12
q3_32b,16384,igs_7-8,0.9462,0.9271,1152,12
q3_32b,16384,igs_4-7-16,0.9201,0.8999,1152,12
q3_32b,16384,igs_7-10-16,0.9193,0.9006,1152,12
q3_32b,16384,igs_7-13-16,0.9132,0.8976,1152,12
q3_32b,16384,igs_7-16-17,0.9149,0.897,1152,12
q3_32b,16384,igs_7-8-16,0.9132,0.8971,1152,12
q3_32b,16384,igs_7-15-16,0.9132,0.8984,1152,12
q3_32b,16384,igs_7-16-20,0.9167,0.8995,1152,12
q3_32b,16384,igs_4-7-10-16,0.8932,0.8741,1152,12
q3_32b,16384,igs_4-7-16-20,0.8924,0.8737,1152,12
q3_32b,16384,igs_4-7-16-17,0.8915,0.8708,1152,12
q3_32b,16384,igs_4-7-13-16,0.888,0.8694,1152,12
q3_32b,16384,igs_4-7-8-16,0.888,0.8708,1152,12
q3_32b,16384,igs_4-7-15-16,0.8872,0.8721,1152,12
