arm,K,batch,ctx,decode_toks,accept
k3,3,1,2000,183.7,3.526
k3,3,8,2000,1273.4,3.805
k3,3,32,2000,3442.3,3.818
k3,3,1,8000,190.8,3.78
k3,3,8,8000,928.9,3.819
k3,3,32,8000,1696.3,3.835
k3,3,1,14000,189.5,3.91
k3,3,8,14000,745.7,3.858
k4,4,1,2000,178.6,4.275
k4,4,8,2000,1287.1,4.692
k4,4,32,2000,3302.9,4.707
k4,4,1,8000,192.9,4.676
k4,4,8,8000,914.1,4.684
k4,4,32,8000,1649.1,4.722
k4,4,1,14000,185.1,4.813
k4,4,8,14000,702.6,4.674
k6,6,1,2000,156.6,5.79
k6,6,8,2000,1230.9,6.38
k6,6,32,2000,3171.7,6.373
k6,6,1,8000,180.2,6.378
k6,6,8,8000,859.4,6.236
k6,6,32,8000,1516.5,6.296
k6,6,1,14000,184.9,6.75
k6,6,8,14000,680.3,6.442
