arm,K,batch,ctx,decode_toks,accept
k3,3,1,2000,184.6,3.508
k3,3,8,2000,1279.9,3.777
k3,3,32,2000,3492.6,3.819
k3,3,1,8000,190.3,3.632
k3,3,8,8000,1171.2,3.811
k3,3,32,8000,2598.2,3.772
k3,3,1,14000,206.1,3.878
k3,3,8,14000,1140.9,3.874
k4,4,1,2000,184.2,4.23
k4,4,8,2000,1234.2,4.616
k4,4,32,2000,3258.8,4.69
k4,4,1,8000,199.4,4.581
k4,4,8,8000,1099.9,4.615
k4,4,32,8000,2549.7,4.692
k4,4,1,14000,203.7,4.765
k4,4,8,14000,1030.2,4.582
k2,2,1,2000,184.8,2.775
k2,2,8,2000,1274.1,2.895
k2,2,32,2000,3352.4,2.897
k2,2,1,8000,190.8,2.857
k2,2,8,8000,1083.1,2.874
k2,2,32,8000,2472.7,2.919
k2,2,1,14000,194.8,2.944
k2,2,8,14000,1009.4,2.885
